id,make,model,year,VIN,color,price
1,Ferrari,599 GTB Fiorano,2008,1GKMCAE35AR792844,Green,9031.47
2,Suzuki,Forenza,2006,JM1BL1L32C1061232,Maroon,6247.44
3,Porsche,Boxster,2007,1G4GC5EC8BF970924,Green,2021.84
4,Subaru,Impreza WRX,2010,WBS3U9C59FP056525,Goldenrod,4810.08
5,Honda,del Sol,1996,1FTSW2B51AE492082,Violet,8879.71
6,Chevrolet,Venture,1999,WA1YD54B84N953784,Blue,1544.08
7,Chevrolet,Tahoe,2009,1N6BF0KX8FN997355,Khaki,6202.07
8,Suzuki,XL7,2008,1G6AY5S3XE0196492,Orange,7157.74
9,Volkswagen,Type 2,1985,1FTEX1CM3DF310892,Mauv,5904.28
10,Acura,Vigor,1994,WAUVC68E25A225647,Turquoise,2502.9
11,Ford,Crown Victoria,2010,3VWPG3AG1AM540847,Fuscia,7883.8
12,Chevrolet,Colorado,2006,WAULH54B91N400204,Fuscia,3012.77
13,Mitsubishi,Raider,2007,WAUDFAFC4FN002351,Orange,1922.54
14,Aston Martin,DBS,2008,WBAHN035X6D394231,Aquamarine,3149.04
15,Mazda,CX-9,2011,5TFCY5F11CX887574,Khaki,2858.61
16,Chevrolet,Express 3500,2002,1GYS3NKJ3FR633416,Goldenrod,2079.07
17,Chevrolet,Venture,1997,5N1CR2MM5EC249553,Blue,5152.29
18,Ford,Expedition EL,2007,1G6DP5ED9B0223861,Green,2960.43
19,Pontiac,Tempest,1961,SAJWA4DC5EM721788,Yellow,3600.7
20,Acura,RL,2004,WBA3X5C52FD563093,Teal,4031.33
21,Geo,Prizm,1995,19UYA42681A600321,Goldenrod,5133.34
22,Subaru,Legacy,1993,WDDEJ7GB3BA495798,Fuscia,1859.81
23,Hummer,H2,2004,WBAGL63474D862294,Blue,3163.94
24,Ford,Club Wagon,1997,WBAWR33599P432662,Fuscia,3598.03
25,GMC,Yukon XL 1500,2005,WAUEL94FX6N230217,Purple,7445.73
26,Ford,Escort,1995,1G6DU57V690905170,Blue,9972.65
27,Ferrari,F430 Spider,2006,SALVP1BG0CH741443,Maroon,3889.78
28,Jeep,Compass,2011,19UUB2F72FA819155,Red,9960.54
29,Scion,tC,2013,2C3CCAKT1CH503560,Crimson,2907.72
30,BMW,3 Series,2009,WA1AY74L27D169511,Red,5929.28
31,Chevrolet,Uplander,2007,WBAEV53445K145148,Khaki,9645.53
32,Audi,RS4,2008,5N1AR1NB2AC331619,Crimson,4091.16
33,Lexus,RX,2010,WAUMR94E28N942564,Turquoise,4260.88
34,Ford,Mustang,2004,1GYUKJEFXAR202186,Orange,9663.6
35,Toyota,Solara,2008,WAUDH78E87A449978,Indigo,3615.84
36,Mercedes-Benz,W201,1987,WBA3C1C59EK339138,Goldenrod,5368.0
37,Lexus,GX,2012,1D7RV1CP0BS422693,Turquoise,4324.1
38,Toyota,RAV4,1999,1G6AH5RX9E0579073,Violet,3602.13
39,Mitsubishi,Tundra,2009,WBAVL1C58DV131600,Teal,4897.32
40,Oldsmobile,Silhouette,1993,3CZRE3H5XBG423512,Teal,1609.3
41,GMC,Sierra Denali,2006,WAUKG58E25A711957,Indigo,1669.26
42,GMC,Sierra 1500,2004,WAULFAFR7EA604750,Orange,4966.22
43,Mazda,B-Series,1991,3D7JV1EP3BG702092,Teal,9542.2
44,Plymouth,Laser,1992,WAUKF98PX9A533572,Goldenrod,3600.99
45,Chevrolet,Corvette,1959,KMHCM3AC2AU859379,Mauv,5613.02
46,Ferrari,F430,2007,WP0AA2A99CS625449,Green,8508.14
47,Spyker,C8 Spyder,2004,WBAPH73529A046893,Mauv,1750.32
48,Honda,Pilot,2010,5TFBY5F11AX387780,Red,1229.92
49,Volvo,S80,1999,WBAKN9C52ED586803,Khaki,8456.46
50,Volkswagen,Golf,1997,JN8AE2KP9B9415803,Pink,6625.21
51,Chevrolet,Astro,1997,3MZBM1K75EM895595,Purple,2606.56
52,Ford,Explorer,2004,WAUJF78K79N309107,Turquoise,3621.79
53,Honda,Accord,1983,WAUPEBFM3CA932968,Yellow,3110.21
54,Pontiac,Grand Prix,1975,WAUHMBFC1EN063880,Indigo,2517.14
55,Chevrolet,Camaro,1980,WBAKX6C53CC788903,Fuscia,5582.49
56,Maybach,57,2010,1G6DP577470700730,Pink,1733.45
57,Ford,Explorer Sport Trac,2008,3N1AB7APXFL709102,Mauv,6883.0
58,Cadillac,STS-V,2006,WAUBFAFL8CN928948,Orange,8030.46
59,Volvo,XC70,2012,WBA3R5C57EK832158,Aquamarine,4060.87
60,Saab,9000,1992,WAUVT64BX2N326788,Teal,4876.81
61,Scion,xB,2010,1N6AD0CU1BC569252,Khaki,5484.93
62,Chevrolet,Express 2500,2010,WAUXL58E04A031488,Fuscia,1035.25
63,Ford,Bronco,1987,5UXFB93542L037956,Violet,4096.19
64,GMC,Yukon,2002,1FTMF1CW3AF044334,Turquoise,7372.73
65,Pontiac,G5,2008,SCFEDCAD6CG002359,Green,1628.29
66,Mercury,Grand Marquis,1985,WA1DGAFE5DD180834,Red,6039.92
67,Hyundai,Sonata,1998,WA1LFAFP7CA216314,Yellow,8286.53
68,Volkswagen,Fox,1989,JA4AS2AW2AZ921852,Crimson,7942.04
69,Pontiac,Grand Prix,1980,2C3CDYAG6CH341998,Turquoise,1146.63
70,Cadillac,Escalade,2006,WAUVC58E52A688212,Mauv,1966.44
71,Dodge,Dakota,2011,SCBDC3ZA9DC625445,Red,3662.33
72,Mercedes-Benz,SLK-Class,2004,WAUEF98E77A313203,Purple,8004.61
73,Lotus,Exige,2007,KMHEC4A43FA070595,Mauv,9719.7
74,Jeep,Patriot,2008,4T1BK1EBXFU068855,Mauv,2575.92
75,Mitsubishi,Outlander,2011,WA1BV74LX7D557406,Mauv,2570.13
76,Chevrolet,Astro,1993,3N1CN7AP5FL248455,Goldenrod,4133.14
77,Chevrolet,Corvette,1997,1HGCP2E30BA567038,Pink,7207.72
78,Lexus,GS,1998,1C4RDHEG2DC943172,Yellow,4810.22
79,Jeep,Liberty,2008,1G4HJ5EM5AU266998,Goldenrod,3582.74
80,Ford,E-Series,2003,3VW467AT0CM151811,Turquoise,8154.54
81,Mitsubishi,Chariot,1986,KNDJT2A28D7303533,Mauv,9003.89
82,Mazda,MPV,2006,WA1LKBFP0AA571355,Maroon,3129.57
83,Lincoln,MKS,2012,3N1CN7AP6EL003520,Puce,6752.71
84,Pontiac,Vibe,2010,3C6TD5NTXCG403704,Fuscia,3850.13
85,Volkswagen,Eurovan,1997,1N6AA0CC6CN364676,Puce,2727.57
86,Toyota,Supra,1992,4JGBB2FB9AA501581,Indigo,1789.15
87,Dodge,Neon,2000,WAUGFAFC3EN552779,Maroon,2235.57
88,Pontiac,1000,1986,1GYFC56299R573036,Goldenrod,9187.1
89,Eagle,Summit,1996,JA4AD3A31FZ729304,Pink,7584.7
90,Mazda,B-Series,1994,1G6YX36D075761170,Green,5563.21
91,Dodge,Stealth,1992,WA1AY74L08D262447,Yellow,7349.65
92,Infiniti,QX,2008,WBA6B2C5XED992670,Goldenrod,7590.93
93,Mercedes-Benz,E-Class,1989,1G6DK67V890500911,Pink,3951.18
94,Cadillac,CTS-V,2006,1G6AB5SA7F0034286,Puce,1434.21
95,Dodge,Ram 1500,2003,3VW217AU9FM437210,Red,7083.26
96,Chevrolet,Corvette,1965,1FTSW2A53AE347546,Red,1313.99
97,Ford,E-Series,2009,3TMJU4GNXAM169507,Green,5885.74
98,BMW,5 Series,1994,1N4AA5AP7EC612573,Goldenrod,5803.48
99,GMC,Savana,2010,5TDDCRFH8ES231226,Yellow,3225.8
100,Saab,9-5,2009,2HNYD2H31CH802827,Crimson,5087.69
101,Ford,Flex,2011,WAUKG98E86A908642,Indigo,7925.73
102,Dodge,Intrepid,1997,3D73Y3CLXAG453557,Orange,5903.24
103,Acura,RDX,2011,WUAW2BFC7FN591864,Khaki,8330.51
104,Ford,F-Series,1996,WAUSH94F48N575119,Purple,3122.62
105,Dodge,Journey,2009,JN8AZ1MU9CW172403,Mauv,7583.79
106,Chrysler,Voyager,2003,WAU4GBFBXAN686826,Pink,5768.42
107,Mazda,B-Series Plus,1993,WA1YD64B83N394919,Puce,1611.89
108,Subaru,Legacy,1991,WAUKD98PX6A037933,Fuscia,9396.16
109,Acura,RL,2006,1D7RB1CT0BS660419,Violet,2078.93
110,Chevrolet,1500,1996,5UXZV8C52CL787405,Teal,9706.86
111,Mitsubishi,Lancer Evolution,2011,YV1672MC5BJ577801,Fuscia,4654.19
112,Dodge,Ram 3500,2008,1G6DV8EP1D0602325,Mauv,5218.52
113,Saturn,VUE,2009,2T1KU4EE8BC959311,Red,2437.82
114,Cadillac,SRX,2004,KMHHU6KJ4FU648986,Fuscia,5463.85
115,Dodge,Ram 2500,2004,WBALL5C58EJ181419,Turquoise,7087.76
116,Hyundai,Elantra,2011,WAUFEAFM3CA941028,Teal,8708.64
117,Volvo,S40,2011,1ZVBP8JS0C5975847,Yellow,8449.97
118,Ford,Mustang,2003,SCFFDCBD3BG748639,Pink,3582.91
119,GMC,Safari,1995,5UXKR0C57F0646665,Fuscia,5959.65
120,Chevrolet,Aveo,2011,5UXFG8C59DL679426,Goldenrod,8552.49
121,Ford,F350,2011,JTHBE5C27B5322224,Green,4438.2
122,Jaguar,XK Series,2001,3N1BC1AP6AL226794,Yellow,7782.85
123,Chevrolet,Express 2500,2012,1G6DA5EY5B0778746,Fuscia,3380.38
124,Chevrolet,Silverado 1500,2003,WAUDFAFC0DN963400,Red,6277.51
125,Mitsubishi,Galant,2002,WBAEJ134X3A870924,Red,5968.95
126,Nissan,Pathfinder,2011,5N1AZ2MH4FN419529,Indigo,4786.88
127,Honda,Prelude,1996,WA1DVAFE2AD890985,Goldenrod,4855.36
128,Volkswagen,riolet,1993,2C3CA5CV8AH028192,Green,8363.17
129,Chevrolet,Malibu,2002,2G4G15GV8B9036419,Green,2553.62
130,Cadillac,CTS-V,2010,1G6DE5EG3A0445861,Khaki,5045.02
131,Infiniti,G,2003,WAUZL64B31N018572,Blue,2278.89
132,Volkswagen,R32,2004,WDDJK7DA9FF481355,Indigo,6552.63
133,Saturn,S-Series,1993,WDDLJ6HB1FA601798,Blue,5345.52
134,Mercedes-Benz,SLK-Class,1998,KM8NU4CC4BU442813,Orange,9664.62
135,Ford,Taurus,1996,JTHBF1D27F5227477,Indigo,3704.6
136,Kia,Sportage,2002,JH4KB2F67CC751043,Purple,3724.85
137,Mazda,Millenia,1995,JN8AZ2KR6BT145762,Green,2702.83
138,Pontiac,G6,2005,WBAEB5C56AC300045,Mauv,8829.31
139,Pontiac,Firebird,1967,1GD21XEGXFZ990059,Aquamarine,3132.81
140,Chevrolet,G-Series 3500,1997,1GYEE53A190229495,Crimson,2588.83
141,Ford,Mustang,1987,WAUHF98P78A914899,Aquamarine,6741.15
142,Toyota,Prius c,2012,3D73Y4EL3AG346787,Yellow,7631.39
143,Pontiac,G6,2010,WBABN53483J192351,Red,5654.8
144,Infiniti,G37,2010,1D4PT5GK6BW122374,Teal,1305.99
145,Audi,4000s,1986,3N1AB6AP1AL399330,Maroon,1600.07
146,Kia,Sportage,2012,1C4SDHCT2EC381552,Yellow,8917.61
147,Toyota,Matrix,2012,1D4PT7GX1AW020910,Turquoise,9981.76
148,Lincoln,Aviator,2003,JTHBL5EF5F5306793,Aquamarine,8798.56
149,Ford,Flex,2009,5J8TB3H51GL851212,Green,8265.34
150,Ford,Mustang,2006,WBA5B1C59FG088265,Fuscia,1900.28
151,Honda,Crosstour,2012,1G6DN57P790837086,Fuscia,6995.99
152,Volkswagen,Passat,2009,WA1VFAFL8EA769238,Blue,1156.22
153,Pontiac,LeMans,1968,WA1WMAFP8EA196581,Fuscia,9943.36
154,Ford,F-Series Super Duty,2008,1FBNE3BL5DD882525,Crimson,9402.91
155,Lincoln,Continental Mark VII,1986,1G6DL8ED9B0781173,Teal,6337.49
156,Nissan,Cube,2009,KM8JT3AB7DU992869,Teal,3803.94
157,Volvo,V40,2003,WAUHMAFC4EN790392,Pink,3726.33
158,Isuzu,Rodeo,1993,1FTNX2A52AE429438,Purple,6343.96
159,Volvo,740,1992,5FRYD4H91GB541151,Crimson,9560.82
160,Chevrolet,Lumina APV,1993,1N6AD0CU5CC632810,Pink,9791.7
161,Volkswagen,Golf,1984,1N4AB7AP2DN446779,Maroon,6424.46
162,Bentley,Continental GTC,2011,WAUKG74F76N099064,Violet,1459.62
163,Chevrolet,Suburban 2500,2005,2C4RDGCG9FR848535,Crimson,2297.12
164,BMW,325,2005,YV1612FH3D2521606,Orange,2823.37
165,Ford,Contour,1995,3GYEK62877G903929,Crimson,2312.31
166,Mercedes-Benz,R-Class,2006,1G6AX5S36E0012085,Turquoise,1312.55
167,Volkswagen,Type 2,1988,JN1AJ0HP1CM049405,Violet,1074.83
168,Honda,CR-V,2006,WBA3C3G52EN318152,Goldenrod,1804.92
169,Honda,Odyssey,1999,SCFAB22362K223833,Orange,1438.84
170,Suzuki,Esteem,1995,NM0GE9F75F1233249,Blue,1235.83
171,Lotus,Esprit,1992,WAULH64B61N038435,Green,6413.94
172,Volkswagen,Golf,1996,1FTEW1CM0CF767029,Indigo,4805.39
173,Mitsubishi,Chariot,1994,3FA6P0PU9FR268641,Fuscia,8631.15
174,Oldsmobile,98,1993,5TDBM5G11CS502106,Violet,5386.85
175,Hummer,H1,1997,1G6AP5SX7E0758953,Aquamarine,1252.04
176,Toyota,Avalon,1995,1G6DS8E32D0913302,Pink,7876.02
177,Lexus,GS,1993,WUADNAFG4AN111543,Indigo,2999.71
178,Volkswagen,Jetta,2004,WP0CA2A87AU604584,Aquamarine,5917.15
179,Dodge,Durango,2006,JHMZE2H54DS316322,Khaki,1096.66
180,Mazda,MX-5,1994,JH4KC1F58FC962013,Goldenrod,3204.36
181,Mitsubishi,Tundra,2009,2T3BF4DV7BW920341,Goldenrod,5320.6
182,GMC,Canyon,2004,SALAC2D4XBA546931,Yellow,6804.83
183,Porsche,968,1994,WP1AA2AP2AL625021,Yellow,9544.23
184,Chevrolet,Silverado 3500,2004,JHMZF1D42ES835181,Teal,4531.66
185,Land Rover,Discovery,2001,2T2BK1BA9DC607780,Purple,1554.24
186,Chrysler,300M,1999,1FTKR1AD8BP711751,Crimson,4542.8
187,GMC,Suburban 2500,1992,5UXZV4C55CL035660,Maroon,7006.69
188,Pontiac,GTO,1964,4A31K2DF8BE993209,Puce,5527.25
189,Chrysler,LeBaron,1992,WBA3A5C5XEJ579706,Goldenrod,6763.25
190,Chrysler,Pacifica,2006,3G5DA03E83S787015,Orange,2286.37
191,Acura,MDX,2006,KMHGH4JH7DU775229,Turquoise,9536.23
192,Porsche,Cayman,2008,19XFA1E83AE621642,Crimson,1064.11
193,Infiniti,G37,2008,KMHEC4A4XBA076808,Orange,3900.97
194,BMW,5 Series,2003,JHMFA3F22BS110720,Teal,9279.23
195,Chrysler,Sebring,1997,WA1CFBFP8DA501367,Goldenrod,5669.7
196,Oldsmobile,Bravada,2002,WA1CGAFE3DD621436,Red,9683.02
197,Mitsubishi,GTO,1996,KNADH4A36B6583228,Maroon,4929.64
198,Kia,Optima,2008,5N1AR1NBXBC620037,Goldenrod,5662.99
199,Hyundai,Genesis,2010,WBAEU33472P424373,Green,4194.97
200,Chevrolet,Express 3500,2011,YV4952CF3C1570137,Yellow,4550.7
201,Plymouth,Grand Voyager,1994,JH4DC53804S361759,Purple,9780.0
202,Toyota,FJ Cruiser,2010,WA1CFAFP0FA709417,Green,9199.79
203,MINI,Cooper Countryman,2012,JM1NC2LFXC0965655,Mauv,9610.71
204,Audi,80,1991,JH4DC54844S993503,Teal,4436.71
205,Chevrolet,Venture,2000,WA1WKAFP8CA733551,Blue,2823.34
206,GMC,Sonoma Club,1992,3D73M4CL7BG391845,Maroon,9613.39
207,Volvo,V70,2007,3N1CN7AP1FL205909,Indigo,6958.48
208,Volkswagen,Touareg 2,2009,WAUVT68E65A943508,Indigo,5072.61
209,BMW,550,2006,4T1BD1FK2EU995811,Aquamarine,7738.59
210,Buick,Riviera,1997,JTHBE5C24D5205882,Pink,7236.13
211,Suzuki,Swift,2001,JTHBP5C26A5573213,Red,2469.74
212,Kia,Sedona,2002,1G6DN56S650224537,Mauv,7838.5
213,Volkswagen,rio,1998,WBADN63463G908322,Red,3430.62
214,Toyota,Prius Plug-in,2012,WAUDGAFL1DA589531,Green,8233.19
215,Nissan,Maxima,1999,1FTWX3A56AE511344,Red,6163.18
216,Land Rover,Freelander,2002,3D73Y4CL2AG400857,Fuscia,1243.31
217,GMC,Envoy,2006,JN8AZ2NC0C9999183,Blue,9208.77
218,Ford,Festiva,1989,JTHKD5BH2D2315940,Teal,8440.86
219,Maserati,Quattroporte,2010,3VWJX7AJ3AM673098,Yellow,5630.15
220,Jeep,Compass,2008,1N6AA0CJ8FN117064,Pink,4049.8
221,Porsche,944,1983,WBA3C3C52FK722996,Fuscia,5590.23
222,Chevrolet,Suburban 1500,2002,3N1CN7AP8DL318947,Blue,9464.58
223,Mercedes-Benz,CL-Class,2004,SCFFDCCDXCG115474,Fuscia,9454.05
224,Toyota,Previa,1992,KMHHU6KJ0FU114688,Purple,6909.25
225,Nissan,Titan,2011,1N4AA5AP2DC099148,Blue,9423.48
226,Lincoln,Navigator,2000,3D7JB1EPXAG404954,Puce,8225.28
227,Volkswagen,Scirocco,1986,1GYS3AEF0BR621623,Khaki,2560.37
228,Honda,Accord,1996,1N6AF0KXXFN828594,Crimson,1405.64
229,Infiniti,G35,2006,1C3CDFAA6FD254491,Fuscia,5597.82
230,Mitsubishi,Pajero,1988,1G6KD57YX9U156321,Yellow,3549.75
231,GMC,1500,1998,WBA3B5G55FN638551,Fuscia,3837.89
232,Nissan,Pathfinder,2001,1N6AA0CC6DN410945,Goldenrod,1504.99
233,Jeep,Liberty,2009,WAUEV94F57N630584,Turquoise,2911.28
234,Ford,Taurus,2012,5UXFH0C53BL321007,Purple,6885.4
235,Nissan,240SX,1997,WBANA53545C213429,Aquamarine,3118.9
236,Mitsubishi,Galant,2003,4A4AP3AU5EE779403,Khaki,9703.19
237,Pontiac,Bonneville,1996,4T1BF1FK3EU485963,Yellow,6564.92
238,Buick,Century,1988,WBADT63441C787977,Fuscia,6493.6
239,Hyundai,Tiburon,2005,KNDJT2A29D7041862,Fuscia,9062.27
240,Pontiac,Solstice,2009,WVGAV7AX1CW471632,Violet,5782.15
241,Ford,Flex,2010,3GYFNGE31DS987840,Mauv,1272.6
242,Mercedes-Benz,SLS-Class,2011,1G4CU541454755942,Blue,1126.6
243,Isuzu,Rodeo,2004,JN8AF5MR9CT196052,Blue,4596.78
244,Hyundai,XG350,2005,1D4PU7GX8AW084780,Violet,8186.11
245,CitroÃ«n,SM,1972,1VWAH7A36EC988824,Goldenrod,1893.38
246,Pontiac,Montana,2005,1D4PU7GX8AW910415,Indigo,1125.87
247,Chrysler,Sebring,2009,WAUGVAFR0CA500179,Indigo,4877.17
248,Toyota,Avalon,2006,WP0CA2A82BS710955,Crimson,7593.94
249,Honda,Civic,1989,JN8AF5MR8CT162989,Violet,3485.71
250,Isuzu,Rodeo,1998,1GYUCAEF4AR049222,Indigo,8632.39
251,Suzuki,Aerio,2002,WA1DGBFE5CD574788,Orange,2025.21
252,GMC,Vandura G1500,1995,WAUNF98P47A294871,Aquamarine,9343.51
253,Chevrolet,Camaro,1997,SCFAD02A35G050423,Aquamarine,5980.21
254,Dodge,Stratus,2001,WVWGD7AJ9EW516798,Fuscia,4823.25
255,Lexus,GX,2009,WBA3D5C50EF760663,Violet,5180.42
256,Acura,Integra,1999,2G4WB52K711017976,Goldenrod,8535.04
257,Pontiac,Daewoo Kalos,2005,WBA3B3C5XEF434721,Crimson,9765.03
258,Lincoln,Navigator,2009,JTMHY7AJ5A4069871,Khaki,9120.38
259,Isuzu,Trooper,1995,3GYT4LEFXBG846113,Turquoise,9862.17
260,Ford,Windstar,1997,KMHGC4DD7EU780777,Purple,2954.58
261,Volvo,V50,2010,YV1982BW5A1415687,Green,5656.71
262,Chevrolet,Corvette,1968,WA1MKAFP3AA392385,Puce,8542.25
263,Chevrolet,Venture,2001,WAUFFAFC8EN155290,Pink,2237.63
264,Chevrolet,2500,1999,3D73Y4HL1BG157357,Puce,8717.89
265,Chrysler,New Yorker,1996,JN1BJ0HR2FM932052,Aquamarine,6467.86
266,GMC,Envoy,2007,WP0AA2A86FK241625,Blue,4340.38
267,Ford,Excursion,2003,1G6AH5SX2D0374638,Yellow,5352.99
268,Ford,F150,2001,KMHHT6KD7AU276551,Violet,5115.49
269,Bentley,Continental,2012,3FADP0L37AR573763,Green,9026.18
270,Mercedes-Benz,S-Class,1989,WA1YD54B75N636340,Purple,5441.71
271,Toyota,Matrix,2006,2G4WF551741766613,Aquamarine,8844.63
272,Honda,Civic,2000,4T1BD1FK9EU069602,Purple,6979.48
273,Toyota,Tacoma,1997,JN8AF5MR2ET352502,Goldenrod,8670.89
274,Lamborghini,Gallardo,2008,3C4PDCDG7FT191021,Yellow,9170.67
275,Land Rover,LR4,2010,JTHBE5C24C5104923,Crimson,6925.39
276,Kia,Sephia,1999,WAUVC68E83A028785,Khaki,2794.87
277,GMC,Suburban 2500,1995,5TFCW5F11CX333747,Green,3500.64
278,Chevrolet,3500,1994,WBA3K5C51EK328452,Goldenrod,9348.87
279,Lincoln,Mark VIII,1998,WAUWFAFR8CA579271,Turquoise,2614.1
280,Toyota,4Runner,2010,1G6DP8EVXA0144241,Maroon,2743.72
281,BMW,Z4,2004,1C3CDZEG4CN427110,Yellow,9533.59
282,Chevrolet,Monza,1975,1G6DN8EV7A0150438,Goldenrod,6833.94
283,Bentley,Continental Flying Spur,2006,WAU4FAFL7AA866603,Red,3242.7
284,Mitsubishi,Mighty Max,1992,KMHFC4DF1AA278677,Fuscia,9577.93
285,Ford,Fusion,2008,KNAFX6A84E5132800,Red,8677.49
286,Dodge,Charger,2011,KNDPB3A2XC7625608,Khaki,2976.47
287,Maserati,Coupe,2005,KNDPB3A28C7452381,Violet,2296.8
288,Ford,Taurus,1991,1FBNE3BL0ED035879,Fuscia,4773.88
289,Ford,Ranger,2006,1G6DW6ED8B0441430,Blue,7431.41
290,Buick,Skylark,1994,WBADR63472G621168,Mauv,1344.24
291,Suzuki,Kizashi,2010,JH4CU4F46BC659204,Turquoise,6565.0
292,Pontiac,Sunfire,2003,2G4GK5EX3F9155504,Mauv,7000.01
293,Pontiac,Grand Prix,1998,1G6DM8ED3B0186591,Blue,7861.53
294,Mercedes-Benz,300TE,1993,3C4PDCDG4CT453525,Aquamarine,1362.47
295,Plymouth,Reliant,1981,1N4AB7AP2DN189798,Puce,6609.37
296,Chevrolet,Cobalt SS,2007,1G4PP5SKXE4496829,Violet,1499.64
297,Chevrolet,Malibu,2012,19UYA42573A743660,Violet,7934.94
298,Infiniti,FX,2009,3GYT4NEF0DG973368,Maroon,7143.46
299,Honda,Odyssey,2006,WAULV44E17N637727,Yellow,3390.94
300,Mazda,B-Series,2009,5N1AT2ML7FC572777,Blue,9520.04
301,BMW,7 Series,2009,KMHTC6AD4CU321301,Orange,2620.32
302,Dodge,Durango,2005,JTDBT4K35B4965754,Yellow,1484.62
303,Nissan,Xterra,2011,JH4CL95904C132209,Pink,4557.51
304,Cadillac,Escalade EXT,2004,JTDZN3EU1D3434244,Fuscia,2223.02
305,Chevrolet,Caprice Classic,1993,5GALRCED9AJ961466,Orange,1745.09
306,Nissan,Titan,2004,KMHHT6KD9DU820942,Turquoise,2618.15
307,Hyundai,Accent,1998,WBANE53507C358054,Turquoise,1349.58
308,Mazda,Tribute,2005,WAUXF78K89A569095,Yellow,3291.51
309,Infiniti,M,2009,1C4SDJCT6CC270667,Goldenrod,2204.17
310,Chevrolet,Cavalier,1992,1G6YX36D495300699,Goldenrod,6806.24
311,Isuzu,i-350,2006,SALGS2EF8EA830625,Indigo,5221.85
312,GMC,Yukon,2011,WBAVB73588F173979,Blue,7978.85
313,GMC,Savana 2500,1998,1G6DU6EV1A0446062,Blue,6664.2
314,Bentley,Continental,2010,1G6DJ8EG2A0075838,Teal,8451.89
315,Saab,9000,1987,WBA3V7C56EP975435,Green,2755.3
316,GMC,Jimmy,1992,5N1AA0NE9FN439047,Blue,6592.13
317,Nissan,Pathfinder,1994,KMHHT6KD2DU509935,Orange,1792.26
318,Kia,Spectra,2001,1G4HR54K01U286567,Purple,2330.82
319,Pontiac,Vibe,2009,1G6DX67D360198822,Red,4930.28
320,GMC,Jimmy,1993,2C3CDZFJ9FH706219,Teal,1475.41
321,Lincoln,MKX,2011,NM0AS8F71E1376688,Mauv,6063.29
322,Porsche,911,2007,WBAKG7C5XCE967322,Indigo,6099.41
323,GMC,Yukon XL 2500,2004,1FTEW1C89AK694704,Blue,7852.44
324,Suzuki,Esteem,2001,1G6DV5EP6D0297791,Orange,6562.85
325,Hyundai,HED-5,2012,5UXKR2C53E0510074,Violet,8371.7
326,Chrysler,Concorde,2002,JM3ER2A58B0250467,Green,8805.77
327,Volvo,S40,2006,1C6RD6LPXCS565704,Crimson,1572.96
328,Ford,Explorer Sport Trac,2002,WBAAX13403P412206,Mauv,9969.36
329,Dodge,Dakota Club,1993,KMHTC6AD7DU566367,Orange,9545.79
330,Buick,Special,1962,1GYS4CEF2CR887509,Blue,2582.63
331,Mitsubishi,Eclipse,1989,SALME1D41BA319208,Yellow,2698.66
332,Volvo,740,1992,1N4AB7AP4EN363632,Orange,3099.94
333,Chevrolet,Cruze,2013,SAJWA4GC9EM030646,Turquoise,1675.03
334,Land Rover,Range Rover Sport,2009,WAUR4AFD7CN860316,Blue,5497.43
